id,scope,category,subcategory,activity,detail,text,uom,ghg_unit,factor,source_sheet,factor_version
1_100_1000_15_1,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,t,kg CO2e,3033.38067,All Factors (Flat),2026.1
1_100_1000_15_2,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,t,kg CO2e of CO2 per unit,3029.26,All Factors (Flat),2026.1
1_100_1000_15_3,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,t,kg CO2e of CH4 per unit,2.52,All Factors (Flat),2026.1
1_100_1000_15_4,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,t,kg CO2e of N2O per unit,1.60067,All Factors (Flat),2026.1
1_100_1000_8_1,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,liters,kg CO2e,1.74533,All Factors (Flat),2026.1
1_100_1000_8_2,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,liters,kg CO2e of CO2 per unit,1.74296,All Factors (Flat),2026.1
1_100_1000_8_3,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,liters,kg CO2e of CH4 per unit,0.00144,All Factors (Flat),2026.1
1_100_1000_8_4,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,liters,kg CO2e of N2O per unit,0.00092,All Factors (Flat),2026.1
1_100_1000_7_1,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (net cv),kg CO2e,0.24107,All Factors (Flat),2026.1
1_100_1000_7_2,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (net cv),kg CO2e of CO2 per unit,0.24074,All Factors (Flat),2026.1
1_100_1000_7_3,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (net cv),kg CO2e of CH4 per unit,0.0002,All Factors (Flat),2026.1
1_100_1000_7_4,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (net cv),kg CO2e of N2O per unit,0.00012,All Factors (Flat),2026.1
1_100_1000_6_1,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (gross cv),kg CO2e,0.22241,All Factors (Flat),2026.1
1_100_1000_6_2,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (gross cv),kg CO2e of CO2 per unit,0.2221,All Factors (Flat),2026.1
1_100_1000_6_3,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (gross cv),kg CO2e of CH4 per unit,0.00019,All Factors (Flat),2026.1
1_100_1000_6_4,Scope 1,Fuels,Gaseous fuels,Butane,nan,nan,kwh (gross cv),kg CO2e of N2O per unit,0.00012,All Factors (Flat),2026.1
1_100_1001_15_1,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,t,kg CO2e,2507.72441,All Factors (Flat),2026.1
1_100_1001_15_2,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,t,kg CO2e of CO2 per unit,2502.68,All Factors (Flat),2026.1
1_100_1001_15_3,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,t,kg CO2e of CH4 per unit,3.8528,All Factors (Flat),2026.1
1_100_1001_15_4,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,t,kg CO2e of N2O per unit,1.19161,All Factors (Flat),2026.1
1_100_1001_8_1,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,liters,kg CO2e,0.43885,All Factors (Flat),2026.1
1_100_1001_8_2,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,liters,kg CO2e of CO2 per unit,0.43797,All Factors (Flat),2026.1
1_100_1001_8_3,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,liters,kg CO2e of CH4 per unit,0.00067,All Factors (Flat),2026.1
1_100_1001_8_4,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,liters,kg CO2e of N2O per unit,0.0002,All Factors (Flat),2026.1
1_100_1001_7_1,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (net cv),kg CO2e,0.20199,All Factors (Flat),2026.1
1_100_1001_7_2,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (net cv),kg CO2e of CO2 per unit,0.20158,All Factors (Flat),2026.1
1_100_1001_7_3,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (net cv),kg CO2e of CH4 per unit,0.00031,All Factors (Flat),2026.1
1_100_1001_7_4,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (net cv),kg CO2e of N2O per unit,0.0001,All Factors (Flat),2026.1
1_100_1001_6_1,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (gross cv),kg CO2e,0.18231,All Factors (Flat),2026.1
1_100_1001_6_2,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (gross cv),kg CO2e of CO2 per unit,0.18194,All Factors (Flat),2026.1
1_100_1001_6_3,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (gross cv),kg CO2e of CH4 per unit,0.00028,All Factors (Flat),2026.1
1_100_1001_6_4,Scope 1,Fuels,Gaseous fuels,CNG,nan,nan,kwh (gross cv),kg CO2e of N2O per unit,9e-05,All Factors (Flat),2026.1
